id,date,ticker,BETA_1YR,close,adj_close,high,low,MARKETCAP,open,PBV,PE_EXCL,PE_EXCL_FWD,PE_NORMALIZED,PRICE_SALES,PRICE_VOL_HIST_3MTH,RSI,RSI_ADJ,SHORT_INTEREST,SHORT_INTEREST_OVER_FLOAT,SHORT_INTEREST_PERCENT,TEV,TEV_EBIT,TEV_EBITDA,TEV_EBITDA_FWD,TEV_EBIT_FWD,TEV_TOTAL_REV,TEV_TOTAL_REV_FWD,volume,CUMULATIVE_SPLIT_FACTOR,LAST_SPLIT_DATE,split_ratio,PBV_FWD,PEG_FWD,PRICE_TARGET,adj_open,adj_high,adj_low,adj_volume,ex-dividend
0,1991-12-31,LSE:ABF,0.5327,2.681,1.225,0.0,0.0,2119.2799,0.0,0.0038,0.0222,0.0,0.0255,0.001,20.3319,68.385,68.3852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7606,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1992-01-01,LSE:ABF,0.5327,2.681,1.225,0.0,0.0,2119.2799,0.0,0.0038,0.0222,0.0,0.0255,0.001,20.2607,68.385,68.3852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7606,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992-01-02,LSE:ABF,0.5327,2.698,1.2327,0.0,0.0,2132.7499,0.0,0.0038,0.0224,0.0,0.0257,0.001,20.2639,70.4037,70.4037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7606,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1992-01-03,LSE:ABF,0.5282,2.6526,1.212,0.0,0.0,2096.8299,0.0,0.0038,0.022,0.0,0.0253,0.001,20.4299,59.4943,59.4943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7606,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1992-01-06,LSE:ABF,0.5282,2.6071,1.1912,0.0,0.0,2060.91,0.0,0.0037,0.0216,0.0,0.0248,0.0009,20.3145,50.9861,50.986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7606,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1992-01-07,LSE:ABF,0.5282,2.6071,1.1912,0.0,0.0,2060.91,0.0,0.0037,0.0216,0.0,0.0248,0.0009,20.2844,50.9861,50.986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7606,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1992-01-08,LSE:ABF,0.5282,2.5674,1.1731,0.0,0.0,2029.4793,0.0,0.0036,0.0213,0.0,0.0245,0.0009,20.4868,44.5243,44.5243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7606,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1992-01-09,LSE:ABF,0.5282,2.6299,1.2016,0.0,0.0,2078.87,0.0,0.0037,0.0218,0.0,0.0251,0.0009,21.0197,54.3212,54.3212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7606,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1992-01-10,LSE:ABF,0.6012,2.539,1.1601,0.0,0.0,2007.0293,0.0,0.0036,0.0211,0.0,0.0242,0.0009,22.0838,42.5505,42.5506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7606,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1992-01-13,LSE:ABF,0.6012,2.5276,1.1549,0.0,0.0,1998.0493,0.0,0.0036,0.021,0.0,0.0241,0.0009,21.9715,41.3446,41.3445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7606,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1992-01-14,LSE:ABF,0.6012,2.5219,1.1523,0.0,0.0,1993.5593,0.0,0.0036,0.0209,0.0,0.024,0.0009,21.9731,40.7231,40.7231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7606,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1992-01-15,LSE:ABF,0.6012,2.4651,1.1263,0.0,0.0,1948.6594,0.0,0.0035,0.0205,0.0,0.0235,0.0009,22.3605,35.0493,35.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7606,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1992-01-16,LSE:ABF,0.6012,2.4367,1.1134,0.0,0.0,1926.2095,0.0,0.0035,0.0202,0.0,0.0232,0.0009,22.4506,32.6033,32.6032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7606,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1992-01-17,LSE:ABF,0.6313,2.4367,1.1134,0.0,0.0,1926.2095,0.0,0.0035,0.0202,0.0,0.0232,0.0009,22.3273,32.6033,32.6032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7606,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1992-01-20,LSE:ABF,0.6313,2.4424,1.116,0.0,0.0,1930.6995,0.0,0.0035,0.0203,0.0,0.0233,0.0009,22.2862,33.6769,33.6771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7606,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1992-01-21,LSE:ABF,0.6313,2.4822,1.1341,0.0,0.0,1962.1294,0.0,0.0035,0.0206,0.0,0.0237,0.0009,22.5455,40.7873,40.7872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7606,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1992-01-22,LSE:ABF,0.6313,2.4822,1.1341,0.0,0.0,1962.1294,0.0,0.0035,0.0206,0.0,0.0237,0.0009,22.5407,40.7873,40.7872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7606,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1992-01-23,LSE:ABF,0.6313,2.4594,1.1237,0.0,0.0,1944.1694,0.0,0.0035,0.0204,0.0,0.0234,0.0009,22.4348,38.0816,38.0815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7606,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1992-01-24,LSE:ABF,0.6214,2.4424,1.116,0.0,0.0,1930.6995,0.0,0.0035,0.0203,0.0,0.0233,0.0009,21.709,36.145,36.1451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7606,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1992-01-27,LSE:ABF,0.6214,2.4822,1.1461,0.0,0.0,1962.1294,0.0,0.0035,0.0206,0.0,0.0237,0.0009,21.9241,43.3803,47.3214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7606,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026
20,1992-01-28,LSE:ABF,0.6214,2.4992,1.154,0.0,0.0,1975.5994,0.0,0.0035,0.0207,0.0,0.0238,0.0009,20.9722,46.1942,49.7902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7606,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
