match_id,season,city,date,team1_id,team2_id,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,player_of_match_id,venue,venue_id,umpire1,umpire2
2017_1,2017,Hyderabad,05-04-2017,SRH,RCB,RCB,field,normal,0,SRH,35,0,Yuvraj Singh,88,"Rajiv Gandhi International Stadium, Hyderabad",4,AY Dandekar,NJ Llong
2017_2,2017,Pune,06-04-2017,MI,RPS,RPS,field,normal,0,RPS,0,7,Steven Smith,321,Maharashtra Cricket Association Stadium,32,A Nand Kishore,S Ravi
2017_3,2017,Rajkot,07-04-2017,GL,KKR,KKR,field,normal,0,KKR,0,10,Chris Lynn,343,Saurashtra Cricket Association Stadium,33,Nitin Menon,CK Nandan
2017_4,2017,Indore,08-04-2017,RPS,KXI,KXI,field,normal,0,KXI,0,6,Glenn Maxwell,429,"Holkar Stadium Cricket Stadium, Indore, Madhya Pradesh",8,AK Chaudhary,C Shamshuddin
2017_5,2017,Bangalore,08-04-2017,RCB,DD,RCB,bat,normal,0,RCB,15,0,Kedar Jadhav,249,"M.Chinnaswamy Stadium Bengaluru, Karnataka",7,,
2017_6,2017,Hyderabad,09-04-2017,GL,SRH,SRH,field,normal,0,SRH,0,9,Rashid Khan,634,"Rajiv Gandhi International Stadium, Hyderabad",4,A Deshmukh,NJ Llong
2017_7,2017,Mumbai,09-04-2017,KKR,MI,MI,field,normal,0,MI,0,4,Nitish Rana,551,"Wankhede Stadium, Mumbai, Maharashtra",1,Nitin Menon,CK Nandan
2017_8,2017,Indore,10-04-2017,RCB,KXI,RCB,bat,normal,0,KXI,0,8,Axar Patel,485,"Holkar Stadium Cricket Stadium, Indore, Madhya Pradesh",8,AK Chaudhary,C Shamshuddin
2017_9,2017,Pune,11-04-2017,DD,RPS,RPS,field,normal,0,DD,97,0,Sanju Samson,439,Maharashtra Cricket Association Stadium,32,AY Dandekar,S Ravi
2017_10,2017,Mumbai,12-04-2017,SRH,MI,MI,field,normal,0,MI,0,4,Jasprit Bumrah,487,"Wankhede Stadium, Mumbai, Maharashtra",1,Nitin Menon,CK Nandan
2017_11,2017,Kolkata,13-04-2017,KXI,KKR,KKR,field,normal,0,KKR,0,8,Sunil Narine,437,"Eden Garden Stadium, Kolkata, West Bengal",3,A Deshmukh,NJ Llong
2017_12,2017,Bangalore,14-04-2017,RCB,MI,MI,field,normal,0,MI,0,4,Kieron Pollard,315,"M.Chinnaswamy Stadium Bengaluru, Karnataka",7,KN Ananthapadmanabhan,AK Chaudhary
2017_13,2017,Rajkot,14-04-2017,RPS,GL,GL,field,normal,0,GL,0,7,Andrew Tye,535,Saurashtra Cricket Association Stadium,33,A Nand Kishore,S Ravi
2017_14,2017,Kolkata,15-04-2017,KKR,SRH,SRH,field,normal,0,KKR,17,0,Robin Uthappa,141,"Eden Garden Stadium, Kolkata, West Bengal",3,AY Dandekar,NJ Llong
2017_15,2017,Delhi,15-04-2017,DD,KXI,DD,bat,normal,0,DD,51,0,Corey Anderson,519,"Feroz Shah Kotla Stadium, Delhi",2,YC Barde,Nitin Menon
2017_16,2017,Mumbai,16-04-2017,GL,MI,MI,field,normal,0,MI,0,6,Nitish Rana,551,"Wankhede Stadium, Mumbai, Maharashtra",1,A Nand Kishore,S Ravi
